ISBN;C�digo;T�tulo;Grados;Colecci�n;A�o Lanzamiento;P�ginas;Interior;Peso;Tama�o;Precio;CodBarras;Imagen
978-987-1565-25-2;BPL04;BUENAS PALABRAS 4;4;BUENAS PALABRAS;2012;0;;;;$ 0,00;0;0
978-987-1565-26-9;BPL05;BUENAS PALABRAS 5;5;BUENAS PALABRAS;2012;0;;;;$ 0,00;0;0
978-987-1565-27-6;BPL06;BUENAS PALABRAS 6;6;BUENAS PALABRAS;2015;0;;;;$ 0,00;0;0
978-987-1565-47-4;BPL07;BUENAS PALABRAS 7;7;BUENAS PALABRAS;2014;0;;;;$ 0,00;0;0
978-987-1565-34-4;CH001;Cuentos con historieta 1;6;Cuentos con historieta;2013;0;;;;$ 0,00;9789871565344;0
978-987-1565-35-1;CH002;Cuentos con historieta 2;;Cuentos con historieta;2013;0;;;;$ 0,00;9789871565351;0
978-987-1565-39-9;CH003;Cuentos con historieta 3;;Cuentos con historieta;2013;0;;;;$ 0,00;9789871565399;0
978-987-1565-36-8;CH004;Cuentos con historieta 4;;Cuentos con historieta;2013;0;;;;$ 0,00;9789871565368;0
978-987-24500-6-9;GT001;El libro de los gnomos, los gigantes y los duendes;;Grillo Topo;2009;52;4 colores;;15,5cm. x 22,5cm.;$ 22,00;9789872450069;11
978-987-24500-5-2;GT002;La ni�a de oro;;Grillo Topo;2009;48;4 colores;;15,5cm. x 22,5cm.;$ 22,00;9789872450052;12
978-987-24500-4-5;GT003;Historia de Malik y Luna Llena;;Grillo Topo;2009;72;4 colores;;15,5cm. x 22,5cm.;$ 24,00;9789872450045;13
978-987-1565-07-8;GT004;El cascanueces y el rey de los ratones;;Grillo Topo;2010;0;;;;$ 0,00;0;0
978-987-1565-11-5;GZ001;Cuentos + cuentos;;Generacion Z;2010;0;;;;$ 0,00;0;0
978-987-1565-13-9;GZ002;Secci�n policiales;;Generacion Z;2010;0;;;;$ 0,00;0;0
978-987-1565-12-2;GZ003;Callej�n sin salida;;Generacion Z;2010;0;;;;$ 0,00;0;0
978-987-1565-16-0;GZ004;El Gigante Amapolas + El matadero;;Generacion Z;2010;100;1 color;;;$ 0,00;0;0
978-987-1565-17-7;GZ005;Prometeo encadenado + Una libra de carne;;Generacion Z;2010;136;1 color;;;$ 0,00;0;0
978-987-1565-21-4;GZ006;Los libros sagrados - Mitolog�a griega;;Generacion Z;2011;0;;;;$ 0,00;0;0
978-987-1565-23-8;GZ007;Los relatos del tiempo;;Generacion Z;2011;0;;;;$ 0,00;0;0
978-987-1565-30-6;GZ008;El centroforward muri� al amanecer;;Generaci�n Z;2012;0;;;;$ 0,00;0;0
978-987-1565-31-3;GZ009;Siete fant�sticos latinoamericanos;;Generaci�n Z;2012;0;;;;$ 0,00;0;0
978-987-1565-49-8;GZ010;Del terror al horror;;Generacion Z;2014;0;;;;$ 0,00;0;0
978-987-24143-0-6;PS001;Las aventuras de Gilgamesh;6�, 7�;La puerta secreta;2008;104;1 color;;18,5cm. x 13,5cm.;$ 22,00;9789872414306;1
978-987-24143-1-3;PS002;Las Mil y una noches;4�, 5�;La puerta secreta;2008;112;4 colores;;18,5cm. x 13,5cm.;$ 22,00;9789872414313;2
978-987-24143-2-0;PS003;Cuentos policiales para chicos curiosos;5�, 6�;La puerta secreta;2008;104;1 color;;18,5cm. x 13,5cm.;$ 22,00;9789872414320;3
978-987-24143-3-7;PS004;Cuentos populares de p�caros y necios;4�, 5�;La puerta secreta;2008;96;4 colores;;18,5cm. x 13,5cm.;$ 22,00;9789872414337;4
978-987-24143-4-4;PS005;Antiguas leyendas de h�roes y princesas;5�, 6�;La Puerta Secreta;2008;96;4 colores;;18,5cm. x 13,5cm.;$ 22,00;9789872414344;5
978-987-24500-0-7;PS006;La isla misteriosa;6�, 7�;La puerta secreta;2008;208;4 colores;;18,5cm. x 13,5cm.;$ 24,00;9789872450007;6
978-987-24500-1-4;PS007;Pr�ncipe y mendigo;4�, 5�;La puerta secreta;2008;160;4 colores;;18,5cm. x 13,5cm.;$ 24,00;9789872450014;7
